               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.027368,            0.010759,           0.0020821,             0.90815,             0.81317,             0.85375,             0.50196,            0.029529,            0.011367,           0.0099396,           0.0088615,           0.0088615,           0.0088615
                 117,            0.024814,           0.0095752,           0.0021931,             0.90644,             0.83633,             0.87799,             0.50351,            0.029705,            0.010904,            0.010464,           0.0088516,           0.0088516,           0.0088516
                 118,            0.024327,            0.010948,           0.0019625,             0.91348,             0.83127,             0.87265,             0.50947,            0.028649,            0.010669,             0.01058,           0.0088417,           0.0088417,           0.0088417
                 119,            0.025599,           0.0091005,           0.0016681,             0.94462,             0.82148,             0.87865,             0.49638,            0.029128,            0.010743,            0.010284,           0.0088318,           0.0088318,           0.0088318
                 120,            0.024127,           0.0093794,            0.001805,             0.87779,             0.78359,             0.84027,             0.48248,             0.02871,            0.011354,            0.011764,           0.0088219,           0.0088219,           0.0088219
                 121,            0.024776,           0.0098858,           0.0018021,              0.8639,             0.82552,             0.83155,             0.48034,            0.028508,            0.010817,            0.012825,            0.008812,            0.008812,            0.008812
                 122,            0.024978,            0.010086,            0.002395,             0.86089,             0.84377,             0.84765,             0.50326,            0.028547,            0.011137,            0.011651,           0.0088021,           0.0088021,           0.0088021
                 123,            0.024123,           0.0095226,           0.0022901,             0.86503,             0.84539,             0.87347,             0.50836,            0.028793,            0.011296,            0.010262,           0.0087922,           0.0087922,           0.0087922
                 124,             0.02389,           0.0097722,           0.0020791,             0.91689,             0.80944,             0.87899,             0.51246,            0.028801,            0.011168,              0.0106,           0.0087823,           0.0087823,           0.0087823
                 125,            0.025695,            0.010379,           0.0027979,             0.85074,             0.86193,             0.88178,             0.51189,            0.028825,            0.010909,           0.0099876,           0.0087724,           0.0087724,           0.0087724
                 126,            0.024016,            0.010333,           0.0021201,             0.84875,             0.83272,               0.888,             0.51768,            0.028397,            0.010636,            0.010262,           0.0087625,           0.0087625,           0.0087625
                 127,            0.023409,            0.010099,           0.0020309,             0.85028,             0.80849,             0.86698,             0.50463,            0.029121,            0.010839,            0.010786,           0.0087526,           0.0087526,           0.0087526
                 128,            0.027215,            0.010074,           0.0022935,             0.88943,             0.77413,              0.8452,             0.49975,            0.029131,            0.011796,             0.01283,           0.0087427,           0.0087427,           0.0087427
                 129,            0.023949,            0.010397,           0.0017973,              0.8681,             0.77447,             0.82241,             0.48509,            0.029173,            0.012176,            0.012199,           0.0087328,           0.0087328,           0.0087328
                 130,            0.024746,           0.0090568,           0.0015261,             0.88857,             0.79108,             0.84638,             0.48398,            0.028793,            0.012544,            0.010273,           0.0087229,           0.0087229,           0.0087229
                 131,            0.022792,           0.0096607,           0.0016739,              0.9223,             0.79305,             0.87138,             0.50878,            0.028052,            0.012105,           0.0090302,            0.008713,            0.008713,            0.008713
                 132,            0.024181,           0.0085897,           0.0014572,             0.91611,             0.81316,             0.87167,             0.51643,            0.027819,            0.011632,           0.0092445,           0.0087031,           0.0087031,           0.0087031
                 133,             0.02257,           0.0093623,           0.0019883,             0.90084,             0.84056,             0.88472,             0.51677,            0.027988,            0.011482,           0.0080521,           0.0086932,           0.0086932,           0.0086932
                 134,            0.023754,           0.0095073,           0.0019963,             0.90783,             0.83934,             0.88793,             0.52462,            0.027892,            0.011442,           0.0076042,           0.0086833,           0.0086833,           0.0086833
                 135,            0.021665,           0.0091299,            0.002363,             0.87234,             0.84989,              0.8847,             0.51832,            0.027807,            0.011414,            0.007888,           0.0086734,           0.0086734,           0.0086734
                 136,            0.023306,           0.0094345,           0.0016518,             0.90441,             0.81655,              0.8584,             0.49653,            0.027849,            0.011555,            0.010323,           0.0086635,           0.0086635,           0.0086635
                 137,            0.024854,           0.0096623,           0.0016082,             0.90225,             0.79804,             0.85233,             0.49927,            0.028814,            0.011727,           0.0096428,           0.0086536,           0.0086536,           0.0086536
                 138,            0.022017,           0.0095328,           0.0014771,              0.8632,             0.82149,             0.86487,             0.49223,            0.029145,            0.011723,            0.008239,           0.0086437,           0.0086437,           0.0086437
                 139,            0.023199,           0.0090658,           0.0017589,             0.83579,             0.85135,             0.86241,              0.4792,            0.029464,            0.011956,            0.007917,           0.0086338,           0.0086338,           0.0086338
                 140,            0.024036,           0.0088296,           0.0016975,             0.89091,             0.76076,             0.84597,             0.47459,            0.030281,            0.012144,           0.0086491,           0.0086239,           0.0086239,           0.0086239
                 141,            0.023623,           0.0099481,           0.0020737,             0.88512,             0.81873,             0.86382,             0.49537,            0.028664,            0.011351,           0.0086197,            0.008614,            0.008614,            0.008614
                 142,            0.023968,           0.0096729,           0.0016763,             0.89036,             0.80581,             0.86745,             0.51878,              0.0286,            0.011552,           0.0093796,           0.0086041,           0.0086041,           0.0086041
                 143,            0.024009,           0.0093387,            0.001516,             0.91325,             0.79731,             0.86395,             0.51233,            0.028511,            0.011495,           0.0081566,           0.0085942,           0.0085942,           0.0085942
                 144,             0.02163,           0.0094499,           0.0022277,             0.91109,             0.82157,             0.86763,             0.50542,             0.02864,            0.011246,            0.010733,           0.0085843,           0.0085843,           0.0085843
                 145,            0.023269,           0.0091732,           0.0013744,             0.90423,             0.81077,             0.87405,             0.49407,            0.029035,            0.011474,            0.010143,           0.0085744,           0.0085744,           0.0085744
                 146,            0.024402,           0.0097452,           0.0017635,              0.8468,              0.8227,             0.84933,             0.49179,            0.029102,            0.011677,            0.011144,           0.0085645,           0.0085645,           0.0085645
                 147,            0.023665,           0.0097959,           0.0016769,             0.84184,              0.8459,             0.85616,             0.50902,            0.028453,            0.011746,            0.010979,           0.0085546,           0.0085546,           0.0085546
                 148,            0.022763,            0.010435,           0.0018945,              0.8738,             0.85467,             0.89027,             0.52482,            0.028125,            0.011149,            0.010587,           0.0085447,           0.0085447,           0.0085447
                 149,            0.022258,           0.0091942,           0.0023488,             0.90618,             0.84258,             0.88524,             0.51123,            0.028228,             0.01089,            0.010073,           0.0085348,           0.0085348,           0.0085348
                 150,            0.023246,           0.0097746,           0.0026213,             0.92742,             0.79344,             0.87905,             0.49045,            0.028584,            0.011833,           0.0093941,           0.0085249,           0.0085249,           0.0085249
                 151,            0.022935,            0.009382,           0.0013219,              0.9547,             0.79921,             0.88447,             0.50489,            0.028716,            0.011966,           0.0082661,            0.008515,            0.008515,            0.008515
                 152,             0.02353,           0.0095374,           0.0014775,              0.9326,             0.82551,             0.87027,             0.52033,            0.028456,             0.01145,           0.0073212,           0.0085051,           0.0085051,           0.0085051
                 153,             0.02242,            0.008789,           0.0016943,             0.92288,             0.81888,             0.87674,             0.53425,             0.02757,            0.011724,           0.0066322,           0.0084952,           0.0084952,           0.0084952
